district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,24.47,住,,,1050117,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,153.3,3,1,2,有,有,10150000,72646,坡道平面,30.1,1200000,,RPPTMLQJQHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,24.67,住,,,1070831,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,154.28,3,1,2,有,有,11280000,81172,坡道平面,30.1,1200000,,RPXRMLQJQHOFFEF47CA
淡水區,房地(土地+建物)+車位,新北市淡水區新春街85巷31~60號,16.53,住,,,1080622,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850912,100.52,3,2,2,有,有,6200000,61679,坡道平面,0,0,,RPTNMLNKQHOFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,27.5,住,,,1030731,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,170.85,3,2,2,有,有,14580000,95062,坡道平面,30.1,1200000,,RPPNMLRJQHOFFEF98CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,18.42,住,,,1030421,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,125.449999999999,2,1,2,有,有,8500000,76560,坡道平面,30.1,1200000,,RPUNMLRJQHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,20.81,住,,,1030327,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,136.28,3,1,2,有,有,9460000,77792,坡道平面,30.1,1200000,,RPVNMLRJQHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,27.5,住,,,1030321,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,170.85,3,2,2,有,有,12580000,80853,坡道平面,30.1,1200000,,RPQPMLRJQHOFFEF66CA
三重區,房地(土地+建物)+車位,新北市三重區重新路五段571~600號,4.14,商,,,1080528,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890411,48.11,0,0,0,無,有,5300000,110164,坡道機械,0,0,,RPOPMLLMPHOFFGF88CA
中和區,房地(土地+建物)+車位,新北市中和區宜安路31~60號,18.08,住,,,1080708,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060808,153.27,3,2,2,有,有,23550000,153650,坡道平面,31.74,0,,RPSNMLQLPHOFFHF96CA
三峽區,房地(土地+建物)+車位,新北市三峽區民生街1巷1~30號,26.56,住,,,1080627,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031211,160.25,3,2,2,有,有,11800000,73635,坡道平面,29.8,0,,RPOTMLQLPHOFFIF27CA
林口區,房地(土地+建物)+車位,新北市林口區中山路571~600號,21.44,住,,,1080701,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950705,155.04,3,2,2,有,有,10500000,74535,坡道平面,32.95,1400000,含增建或未登記建物。,RPPPMLQLPHOFFBF98DA
蘆洲區,房地(土地+建物),新北市蘆洲區集賢路224巷1~30號,9.06,住,,,1080629,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,850509,64.93,1,1,1,有,有,7200000,110889,,0,0,含增建或未登記建物。,RPPNMLLMPHOFFGF88DA
板橋區,房地(土地+建物)+車位,新北市板橋區大同街1~30號,12.84,住,,,1080619,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050830,114.22,2,1,1,有,有,18560000,193004,坡道機械,25.31,1400000,,RPRPMLMJRHOFFAF78EA
汐止區,房地(土地+建物),新北市汐止區樟樹一路2巷31~60號,8.69,住,,,1080701,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,870403,44.42,1,1,1,有,有,5700000,128321,,0,0,,RPSOMLLMPHOFFDF09EA
永和區,房地(土地+建物)+車位,新北市永和區林森路44巷6弄1~30號,13.35,住,,,1071101,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900104,157.45,3,2,2,有,有,14588899,92657,坡道平面,43.61,0,向政府機關承購之案件。;,RPPPMLPLPHOFFHF96EA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1070901,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,123.99,2,2,1,有,有,8280000,75549,坡道平面,35.57,1600000,,RPOPMLMLQHOFFIF56CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1071215,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,123.99,2,2,1,有,有,7570000,76566,坡道平面,35.57,800000,,RPPPMLMLQHOFFIF66CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1071229,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,123.99,2,2,1,有,有,8180000,74418,坡道平面,35.57,1600000,,RPQPMLMLQHOFFIF76CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,28.11,住,,,1070126,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,156.69,3,2,2,有,有,10350000,72655,坡道平面,35.57,1550000,,RPRPMLMLQHOFFIF86CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,21.12,住,,,1070928,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.35,2,2,1,有,有,8200000,76594,坡道平面,35.57,1400000,,RPSPMLMLQHOFFIF96CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1080630,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.01,2,2,1,有,有,9000000,84803,坡道平面,35.57,1500000,,RPOPMLQLQHOFFIF96CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1080711,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,123.99,2,2,1,有,有,7900000,73513,坡道平面,35.57,1400000,,RPURMLQLQHOFFIF77CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,28.11,住,,,1080612,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,156.69,3,2,2,有,有,10000000,70178,坡道平面,35.57,1500000,,RPVRMLQLQHOFFIF87CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,21.12,住,,,1070201,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.35,2,2,1,有,有,7750000,69836,坡道平面,35.57,1550000,,RPRRMLTKQHOFFIF67CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1070201,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.01,2,2,1,有,有,7750000,70104,坡道平面,35.57,1550000,,SPRRMLTKQHOFFIF77CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,21.12,住,,,1070201,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.35,2,2,1,有,有,7750000,69836,坡道平面,35.57,1550000,,RPSRMLTKQHOFFIF77CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1070201,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,124.01,2,2,1,有,有,7750000,70104,坡道平面,35.57,1550000,,SPSRMLTKQHOFFIF87CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,19.54,住,,,1070514,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,117.46,2,2,1,有,有,8600000,86702,坡道平面,35.57,1500000,,RPTRMLTKQHOFFIF87CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.33,住,,,1070128,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,121.77,2,2,1,有,有,7500000,71926,坡道平面,35.57,1300000,,RPURMLTKQHOFFIF97CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,20.97,住,,,1070719,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,123.99,2,2,1,有,有,7750000,70120,坡道平面,35.57,1550000,,RPVRMLTKQHOFFIF08CA
三峽區,房地(土地+建物)+車位,新北市三峽區大智路1~30號,17.15,住,,,1070128,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080423,106.38,2,2,1,有,有,6330000,71035,坡道平面,35.57,1300000,,RPWRMLTKQHOFFIF18CA
